Receipt #,Physical Business Location,Account #,Owner Address Name,Business Name,Business Address,Category Code,Category Name,Mailing Address Name,Mailing Address Line 1,Mailing Address Line 2,Mailing Address City,Mailing Address State,Mailing Address ZIP,Number of Units,Account Status,Balance Status,Date Paid In Full,Exemption Code,Exemption Description,Business Phone,RE Account Number,Tangible Account Number,Custom Flags,Receipt Application Date,Year,Class Code,Class Name
6666052,04 - HIALEAH,6398077,#1 RX LIBERTY PHARMACY DISC CORP,# 1 RX LIBERTY PHARMACY DISCOUNT CORP,"972 E 25 ST HIALEAH, FL 33013 ",PHA-RPH,PHARMACY,#1 RX LIBERTY PHARMACY DISC CORP PEDRO PABLO ROSADO  PRES,972 E 25 ST,,HIALEAH,FL,33013,3,Active,Unpaid,,-- None --,-- None --,305-691-6686,04-3108-002-2300,,-- None --,3/12/2009,2014,214,Retail sales
6813605,30 - UNIN DADE COUNTY,6542998,SHAY BALAS,# A LOCKSMITH,"DOING BUS IN DADE CO MIAMI, FL 33000 ",LOC,LOCKSMITH SERVICE,SHAY BALAS,1835 E HALLANDALE BEACH BLVD  402,,HALLANDALE BEACH,FL,33009,1,Active,Unpaid,,-- None --,-- None --,954-245-8283,,,"Enforcement, Mobile Business",12/10/2009,2014,213,Service business/multiple service business or Passenger transportation services
4732229,01 - MIAMI,4532983,#1 DOLLAR STORE INC,#1 DOLLAR STORE INC,"5755 W FLAGLER ST 106 MIAMI, FL 33144 ",RET-STR,RETAIL SALES,#1 DOLLAR STORE INC LUIS PEREZ PRES,5755 W FLAGLER ST #106,,MIAMI,FL,33144,2,Active,Paid In Full,10/2/2013,-- None --,-- None --,305-267-0919,,,-- None --,6/19/2001,2014,214,Retail sales
7062714,30 - UNIN DADE COUNTY,6789128,#1 FURNITURE OUTLET LLC,#1 FURNITURE OUTLET LLC,"19932 NW 79 ST MIAMI, FL 33015 ",DLR-SAL,TANGIBLE PERSONAL PROP DLR,#1 FURNITURE OUTLET LLC MARILYN HERNANDEZ MGR,19932 NW 79 ST,,MIAMI,FL,33015,1,Active,Unpaid,,-- None --,-- None --,305-741-8233,30-2003-045-1540,,-- None --,3/31/2011,2014,220,Dealer in tangible personal property
6294375,01 - MIAMI,6033633,#1 MEDICAL SUPPLIES INC,#1 MEDICAL SUPPLIES INC,"1090 SW 27 AVE MIAMI, FL 33135 ",SER-REN,SERVICE BUSINESS,#1 MEDICAL SUPPLIES INC GILBERTO IVIRICO PRES,1090 SW 27 AVE,,MIAMI,FL,33135,5,Active,Paid In Full,7/18/2013,-- None --,-- None --,305-643-5253,01-4109-002-0380,,-- None --,5/10/2007,2014,213,Service business/multiple service business or Passenger transportation services
5627014,01 - MIAMI,5388582,#1 MEDICAL SUPPLIES INC,#1 MEDICAL SUPPLIES INC,"1090 SW 27 AVE MIAMI, FL 33135 ",DLR-SHO,TANGIBLE PERSONAL PROP DLR,#1 MEDICAL SUPPLIES INC GILBERTO IVIRICO  PRES,1090 SW 27 AVE,,MIAMI,FL,33135,5,Active,Paid In Full,7/18/2013,-- None --,-- None --,305-643-5253,01-4109-002-0380,40-195004,-- None --,8/12/2004,2014,220,Dealer in tangible personal property
6925334,30 - UNIN DADE COUNTY,6654264,DOLLAR TREE STORES INC,$ 1 STOP 4442,"12000 SW 127 AVE MIAMI, FL 33186 ",RET-STR,RETAIL SALES,DOLLAR TREE STORES INC AMY SMALLS,500 VOLVO PARKWAY,,CHESAPEAKE,VA,23320,1,Active,Paid In Full,8/2/2013,-- None --,-- None --,757-321-5000,,,-- None --,7/2/2010,2014,214,Retail sales
6585450,01 - MIAMI,6319016,HERMAN L DE ANNA OD PA,#NAME?,"8000 BISCAYNE BLVD MIAMI, FL 33128 ",ASS,P.A./CORP/PARTNERSHIP/FIRM,HERMAN L DE ANNA OD PA HERMAN DE ANNA,8000 BISCAYNE BLVD,,MIAMI,FL,33128,2,Active,Paid In Full,8/27/2013,-- None --,-- None --,786-517-6127,01-3207-019-0010,,-- None --,10/21/2008,2014,212,"Professions, professional associations"
785585,01 - MIAMI,6364947,0 18 LLC,0 18 LLC,"201 NW 47 AVE MIAMI, FL 33126 ",APT,APARTMENTS,0 18 LLC,8798 SW 8 ST,,MIAMI,FL,33174,12,Active,Paid In Full,9/5/2013,-- None --,-- None --,305-000-0000,01-4105-064-0010,,-- None --,8/24/1988,2014,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
6496020,30 - UNIN DADE COUNTY,6231450,0001 ALICEA BAIL BONDS INC,001 ALICEA BAIL BONDS INC,"20936 S DIXIE HWY MIAMI, FL 33189 ",BBB,BAIL BOND BUSINESS,0001 ALICEA BAIL BONDS INC LUIS ALICEA PRES,20936 S DIXIE HWY,,MIAMI,FL,33189,,Active,Unpaid,,-- None --,-- None --,786-251-4303,30-6007-005-0540,,Enforcement,4/29/2008,2014,207,"Administrative office, operation center or Other unclassified businesses"
6323984,27 - HIALEAH GARDENS,6062186,004 INC,004 INC,"8726 NW 119 ST BAY8 HIALEAH GARDENS, FL 33016 ",RET-STR,RETAIL SALES,004 INC ERIC DENIS PRES,8726 NW 119 ST BAY8,,HIALEAH GARDENS,FL,33016,1,Active,Paid In Full,9/12/2013,-- None --,-- None --,305-821-9484,27-2033-002-0220,,-- None --,7/5/2007,2014,214,Retail sales
6326367,27 - HIALEAH GARDENS,6062186,004 INC,004 INC,"8726 NW 119 ST BAY8 HIALEAH GARDENS, FL 33016 ",DLR-WHO,TANGIBLE PERSONAL PROP DLR,004 INC ERIC DENIS PRES,8726 NW 119 ST BAY8,,HIALEAH GARDENS,FL,33016,1,Active,Paid In Full,9/12/2013,-- None --,-- None --,305-821-9484,27-2033-002-0220,,-- None --,7/11/2007,2014,220,Dealer in tangible personal property
7176977,01 - MIAMI,6901293,004 INC,004 INC,"2412 N MIAMI AVE MIAMI, FL 33137 ",DLR-ANT,TANGIBLE PERSONAL PROP DLR,004 INC ERIC DENIS PRES,2412 N MIAMI AVE,,MIAMI,FL,33137,1,Active,Paid In Full,7/24/2013,-- None --,-- None --,305-849-8585,01-3125-037-0020,,-- None --,11/10/2011,2014,220,Dealer in tangible personal property
6153787,27 - HIALEAH GARDENS,5899472,011 CONEXION CORP,011 CONEXION CORP,"10107 W OKEECHOBEE RD HIALEAH GARDENS, FL 33016 ",RET-STR,RETAIL SALES,011 CONEXION CORP RENE A RIVERO  PRES,10107 W OKEECHOBEE RD,,HIALEAH GARDENS,FL,33016,2,Active,Paid In Full,8/1/2013,-- None --,-- None --,786-382-6626,27-3003-001-0371,40-200842,-- None --,10/19/2006,2014,214,Retail sales
6153779,27 - HIALEAH GARDENS,5899472,011 CONEXION CORP,011 CONEXION CORP,"10107 W OKEECHOBEE RD HIALEAH GARDENS, FL 33016 ",COM-LON,COMMUNICATION BUSINESS,011 CONEXION CORP RENE A RIVERO  PRES,10107 W OKEECHOBEE RD,,HIALEAH GARDENS,FL,33016,,Active,Paid In Full,8/5/2013,-- None --,-- None --,786-382-6626,27-3003-001-0371,40-200842,-- None --,10/19/2006,2014,217,Local exchange telecommunication company or Communication businesses
5956959,04 - HIALEAH,5711685,011 CONEXION CORP INC,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ",RET-STR,RETAIL SALES,011 CONEXION CORP INC RENE A RIVERO,10107 W OKEECHOBEE RD,,HIALEAH,FL,33016,3,Active,Paid In Full,8/5/2013,-- None --,-- None --,786-382-6626,04-3012-016-0490,,-- None --,1/26/2006,2014,214,Retail sales
7037948,04 - HIALEAH,5711685,011 CONEXION CORP INC,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ",TRA,SELLER OF TRAVEL,011 CONEXION CORP INC RENE A RIVERO,10107 W OKEECHOBEE RD,,HIALEAH,FL,33016,2,Active,Paid In Full,8/1/2013,-- None --,-- None --,786-382-6626,04-3012-016-0490,,-- None --,2/18/2011,2014,220,Dealer in tangible personal property
5956942,04 - HIALEAH,5711685,011 CONEXION CORP INC,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ",COM-LON,COMMUNICATION BUSINESS,011 CONEXION CORP INC RENE A RIVERO,10107 W OKEECHOBEE RD,,HIALEAH,FL,33016,,Active,Paid In Full,8/1/2013,-- None --,-- None --,786-382-6626,04-3012-016-0490,,-- None --,1/26/2006,2014,217,Local exchange telecommunication company or Communication businesses
6799846,30 - UNIN DADE COUNTY,6933239,1 2 3 AUTO RENTAL LLC,1 2 3 AUTO RENTAL LLC,"4019 NW 28 ST MIAMI, FL 33142 ",SER-CHA,SERVICE BUSINESS,1 2 3 AUTO RENTAL LLC JORGE GONZALEZ MGR,4019 NW 28 ST,,MIAMI,FL,33142,2,Active,Unpaid,,-- None --,-- None --,305-871-0776,30-3129-007-0250,,Enforcement,11/10/2009,2014,213,Service business/multiple service business or Passenger transportation services
6563473,30 - UNIN DADE COUNTY,6297527,ROJO ALEX,1 2 3 FIXED,"OPERATING IN DADE COUNTY MIAMI, FL 33999 ",SER-SNR,SERVICE BUSINESS,ROJO ALEX ALEX ROJO,6028 SW 35 ST,,MIAMI,FL,33155,1,Active,Unpaid,,-- None --,-- None --,786-385-2323,,,Mobile Business,9/11/2008,2014,213,Service business/multiple service business or Passenger transportation services
