"Zip Code","Administrative office, operation center or Other unclassified businesses","Amusement facilities/devices (non-coin)","Bank, Savings & trust companies, etc.","Contracting","Dancing or entertainment, etc.","Dealer in intangible personal property","Dealer in tangible personal property","Eating establishments or Catering businesses","Educational, training institutions","Hotels, apartments, motels, etc. or Commercial, industrial or office space","Local exchange telecommunication company or Communication businesses","Manufacturing, recycling, processing, etc.","Movies, playhouses, stadiums, auditoriums, etc.","Multi-Municipal Contractor","Non-profit charitable, religious or educational institutions","Non-vocal communications, etc.","Pawnbrokers","Professions, professional associations","Retail sales","Service business/multiple service business or Passenger transportation services","Title insurance, abstract companies, etc.","Vending, service & amusement machines"
"33109 zip",0.0512820512820513,0.0256410256410256,0.0256410256410256,0,0,0.0256410256410256,0.0512820512820513,0.179487179487179,0,0.0256410256410256,0.0256410256410256,0,0,0,0,0,0,0.179487179487179,0.128205128205128,0.256410256410256,0,0.0256410256410256
"33125 zip",0.0187057633973711,0.00202224469160768,0.0106167846309403,0.0692618806875632,0.00252780586450961,0.00606673407482305,0.0348837209302326,0.0429726996966633,0.0070778564206269,0.156218402426694,0.000505561172901921,0.0116279069767442,0.000505561172901921,0.00404448938321537,0.00303336703741153,0.000505561172901921,0.00758341759352882,0.280080889787664,0.128412537917088,0.198179979777553,0.000505561172901921,0.0141557128412538
"33126 zip",0.0253002811142346,0.000255558395093279,0.0104778941988244,0.0628673651929466,0.00204446716074623,0.00996677740863787,0.155635062611807,0.0314336825964733,0.00613340148223869,0.0396115512394582,0.00255558395093279,0.00945566061845132,0.000255558395093279,0.00281114234602607,0.00306670074111935,0.00102223358037312,0.00255558395093279,0.299769997444416,0.0886787630973677,0.233580373115257,0.00204446716074623,0.00894454382826476
"33127 zip",0.0144157814871017,0.00151745068285281,0.0106221547799697,0.0569044006069803,0,0.00227617602427921,0.165402124430956,0.0652503793626707,0.00834597875569044,0.0728376327769348,0.00151745068285281,0.043247344461305,0.000758725341426404,0.00379362670713202,0.0106221547799697,0,0.00531107738998483,0.0485584218512898,0.199544764795144,0.267071320182094,0,0.0113808801213961
"33128 zip",0.0155555555555556,0.00222222222222222,0.0111111111111111,0.0222222222222222,0.00222222222222222,0.00666666666666667,0.0733333333333333,0.0622222222222222,0,0.251111111111111,0,0.00666666666666667,0,0.00222222222222222,0.0111111111111111,0,0.0111111111111111,0.211111111111111,0.151111111111111,0.144444444444444,0,0.0133333333333333
"33129 zip",0.0141065830721003,0.00156739811912226,0.00470219435736677,0.0705329153605016,0,0.0235109717868339,0.054858934169279,0.0250783699059561,0.0203761755485893,0.0799373040752351,0,0.00313479623824451,0,0.00156739811912226,0.00626959247648903,0,0,0.489028213166144,0.0344827586206897,0.15987460815047,0.00156739811912226,0.00626959247648903
"33130 zip",0.0140789988267501,0,0.0121235823230348,0.0246382479468127,0.00312866640594447,0.00664841611263199,0.0457567461869378,0.053969495502542,0.0046929996089167,0.155260070394994,0.00273758310520141,0.0101681658193195,0.000391083300743058,0,0.00508408290965976,0.00312866640594447,0.00351974970668752,0.39773171685569,0.0989440750879937,0.144309737974189,0.000391083300743058,0.0129057489245209
"33131 zip",0.01630351973183,0,0.0138656102392199,0.00838031388084717,0.000457108029864391,0.0251409416425415,0.0475392351058967,0.028035959165016,0.00259027883589822,0.00929452994057596,0.0015236934328813,0.00182843211945757,0.000457108029864391,0.00015236934328813,0.000914216059728783,0.000457108029864391,0,0.715678805424349,0.0339783635532531,0.0909644979430139,0.000914216059728783,0.0015236934328813
"33132 zip",0.0300382304751502,0,0.0136537411250683,0.0152921900600765,0.0120152921900601,0.0114691425450573,0.159475696340797,0.0699071545603495,0.00491534680502458,0.0262151829601311,0.0152921900600765,0.0158383397050792,0.00109229929000546,0.000546149645002731,0.00273074822501365,0,0.00382304751501912,0.196613872200983,0.184598580010923,0.226652102676133,0.000546149645002731,0.0070999453850355
"33133 zip",0.0240718074255406,0,0.00571195430436556,0.0514075887392901,0.00285597715218278,0.0208078335373317,0.0469196246430029,0.0416156670746634,0.0101999184006528,0.0452876376988984,0.00407996736026112,0.00448796409628723,0.000407996736026112,0.000407996736026112,0.00367197062423501,0,0,0.52468380252958,0.0718074255405957,0.131782945736434,0.00244798041615667,0.00530395756833945
